This architecture has 519 events.
Event tags (tag, id, umask, counters<, options>):
ACTUAL_CPU_CLOCK, 0x1, 0x0, FIXC1
RETIRED_FP_OPS_BY_TYPE_SCALAR_OTHER, 0xA, 0xE, PMC
RETIRED_FP_OPS_BY_TYPE_SCALAR_ALL, 0xA, 0xF, PMC
RETIRED_FP_OPS_BY_TYPE_VECTOR_ADD, 0xA, 0x10, PMC
RETIRED_FP_OPS_BY_TYPE_VECTOR_SUB, 0xA, 0x20, PMC
RETIRED_FP_OPS_BY_TYPE_VECTOR_MUL, 0xA, 0x30, PMC
RETIRED_FP_OPS_BY_TYPE_VECTOR_MAC, 0xA, 0x40, PMC
RETIRED_FP_OPS_BY_TYPE_VECTOR_FMA, 0xA, 0x40, PMC
RETIRED_FP_OPS_BY_TYPE_VECTOR_DIV, 0xA, 0x50, PMC
RETIRED_FP_OPS_BY_TYPE_VECTOR_SQRT, 0xA, 0x60, PMC
RETIRED_FP_OPS_BY_TYPE_VECTOR_CMP, 0xA, 0x70, PMC
RETIRED_FP_OPS_BY_TYPE_VECTOR_CVT, 0xA, 0x80, PMC
RETIRED_FP_OPS_BY_TYPE_VECTOR_BLEND, 0xA, 0x90, PMC
RETIRED_FP_OPS_BY_TYPE_VECTOR_SHUFFLE, 0xA, 0xB0, PMC
RETIRED_FP_OPS_BY_TYPE_VECTOR_LOGICAL, 0xA, 0xD0, PMC
RETIRED_FP_OPS_BY_TYPE_VECTOR_OTHER, 0xA, 0xE0, PMC
RETIRED_FP_OPS_BY_TYPE_VECTOR_ALL, 0xA, 0xF0, PMC
RETIRED_FP_OPS_BY_TYPE_ALL_ALL, 0xA, 0xFF, PMC
RETIRED_INT_OPS_MMX_ADD, 0xB, 0x1, PMC
RETIRED_INT_OPS_MMX_SUB, 0xB, 0x2, PMC
RETIRED_INT_OPS_MMX_MUL, 0xB, 0x3, PMC
RETIRED_INT_OPS_MMX_MAC, 0xB, 0x4, PMC
RETIRED_INT_OPS_MMX_FMA, 0xB, 0x4, PMC
RETIRED_INT_OPS_MMX_CMP, 0xB, 0x7, PMC
RETIRED_INT_OPS_MMX_SHIFT, 0xB, 0x9, PMC
RETIRED_INT_OPS_MMX_MOV, 0xB, 0xA, PMC
RETIRED_INT_OPS_MMX_SHUFFLE, 0xB, 0xB, PMC
RETIRED_INT_OPS_MMX_PACK, 0xB, 0xC, PMC
RETIRED_INT_OPS_MMX_LOGICAL, 0xB, 0xD, PMC
RETIRED_INT_OPS_MMX_OTHER, 0xB, 0xE, PMC
RETIRED_INT_OPS_MMX_ALL, 0xB, 0xF, PMC
RETIRED_INT_OPS_SSE_AVX_ADD, 0xB, 0x10, PMC
RETIRED_INT_OPS_SSE_AVX_SUB, 0xB, 0x20, PMC
RETIRED_INT_OPS_SSE_AVX_MUL, 0xB, 0x30, PMC
RETIRED_INT_OPS_SSE_AVX_MAC, 0xB, 0x40, PMC
RETIRED_INT_OPS_SSE_AVX_FMA, 0xB, 0x40, PMC
RETIRED_INT_OPS_SSE_AVX_AES, 0xB, 0x50, PMC
RETIRED_INT_OPS_SSE_AVX_SHA, 0xB, 0x60, PMC
RETIRED_INT_OPS_SSE_AVX_CMP, 0xB, 0x70, PMC
RETIRED_INT_OPS_SSE_AVX_CLM, 0xB, 0x80, PMC
RETIRED_INT_OPS_SSE_AVX_SHIFT, 0xB, 0x90, PMC
RETIRED_INT_OPS_SSE_AVX_MOV, 0xB, 0xA, PMC
RETIRED_INT_OPS_SSE_AVX_SHUFFLE, 0xB, 0xB0, PMC
RETIRED_INT_OPS_SSE_AVX_PACK, 0xB, 0xC0, PMC
RETIRED_INT_OPS_SSE_AVX_LOGICAL, 0xB, 0xD0, PMC
RETIRED_INT_OPS_SSE_AVX_OTHER, 0xB, 0xE0, PMC
RETIRED_INT_OPS_SSE_AVX_ALL, 0xB, 0xF0, PMC
RETIRED_INT_OPS_ALL_ALL, 0xB, 0xFF, PMC
RETIRED_PACKED_FP_OPS_FP128_ADD, 0xC, 0x1, PMC
RETIRED_PACKED_FP_OPS_FP128_SUB, 0xC, 0x2, PMC
RETIRED_PACKED_FP_OPS_FP128_MUL, 0xC, 0x3, PMC
RETIRED_PACKED_FP_OPS_FP128_MAC, 0xC, 0x4, PMC
RETIRED_PACKED_FP_OPS_FP128_FMA, 0xC, 0x4, PMC
RETIRED_PACKED_FP_OPS_FP128_DIV, 0xC, 0x5, PMC
RETIRED_PACKED_FP_OPS_FP128_SQRT, 0xC, 0x6, PMC
RETIRED_PACKED_FP_OPS_FP128_CMP, 0xC, 0x7, PMC
RETIRED_PACKED_FP_OPS_FP128_CVT, 0xC, 0x8, PMC
RETIRED_PACKED_FP_OPS_FP128_BLEND, 0xC, 0x9, PMC
RETIRED_PACKED_FP_OPS_FP128_SHUFFLE, 0xC, 0xB, PMC
RETIRED_PACKED_FP_OPS_FP128_LOGICAL, 0xC, 0xD, PMC
RETIRED_PACKED_FP_OPS_FP128_OTHER, 0xC, 0xE, PMC
RETIRED_PACKED_FP_OPS_FP128_ALL, 0xC, 0xF, PMC
RETIRED_PACKED_FP_OPS_FP256_ADD, 0xC, 0x10, PMC
RETIRED_PACKED_FP_OPS_FP256_SUB, 0xC, 0x20, PMC
RETIRED_PACKED_FP_OPS_FP256_MUL, 0xC, 0x30, PMC
RETIRED_PACKED_FP_OPS_FP256_MAC, 0xC, 0x40, PMC
RETIRED_PACKED_FP_OPS_FP256_FMA, 0xC, 0x40, PMC
RETIRED_PACKED_FP_OPS_FP256_DIV, 0xC, 0x50, PMC
RETIRED_PACKED_FP_OPS_FP256_SQRT, 0xC, 0x60, PMC
RETIRED_PACKED_FP_OPS_FP256_CMP, 0xC, 0x70, PMC
RETIRED_PACKED_FP_OPS_FP256_CVT, 0xC, 0x80, PMC
RETIRED_PACKED_FP_OPS_FP256_BLEND, 0xC, 0x90, PMC
RETIRED_PACKED_FP_OPS_FP256_SHUFFLE, 0xC, 0xB0, PMC
RETIRED_PACKED_FP_OPS_FP256_LOGICAL, 0xC, 0xD0, PMC
RETIRED_PACKED_FP_OPS_FP256_OTHER, 0xC, 0xE0, PMC
RETIRED_PACKED_FP_OPS_FP256_ALL, 0xC, 0xF0, PMC
RETIRED_PACKED_FP_OPS_ALL_ALL, 0xC, 0xFF, PMC
RETIRED_PACKED_INT_OPS_INT128_ADD, 0xD, 0x1, PMC
RETIRED_PACKED_INT_OPS_INT128_SUB, 0xD, 0x2, PMC
RETIRED_PACKED_INT_OPS_INT128_MUL, 0xD, 0x3, PMC
RETIRED_PACKED_INT_OPS_INT128_MAC, 0xD, 0x4, PMC
RETIRED_PACKED_INT_OPS_INT128_FMA, 0xD, 0x4, PMC
RETIRED_PACKED_INT_OPS_INT128_AES, 0xD, 0x5, PMC
RETIRED_PACKED_INT_OPS_INT128_SHA, 0xD, 0x6, PMC
RETIRED_PACKED_INT_OPS_INT128_CMP, 0xD, 0x7, PMC
RETIRED_PACKED_INT_OPS_INT128_CLM, 0xD, 0x8, PMC
RETIRED_PACKED_INT_OPS_INT128_SHIFT, 0xD, 0x9, PMC
RETIRED_PACKED_INT_OPS_INT128_MOV, 0xD, 0xA, PMC
RETIRED_PACKED_INT_OPS_INT128_SHUFFLE, 0xD, 0xB, PMC
RETIRED_PACKED_INT_OPS_INT128_PACK, 0xD, 0xC, PMC
RETIRED_PACKED_INT_OPS_INT128_LOGICAL, 0xD, 0xD, PMC
RETIRED_PACKED_INT_OPS_INT128_OTHER, 0xD, 0xE, PMC
RETIRED_PACKED_INT_OPS_INT128_ALL, 0xD, 0xF, PMC
RETIRED_PACKED_INT_OPS_INT256_ADD, 0xD, 0x10, PMC
RETIRED_PACKED_INT_OPS_INT256_SUB, 0xD, 0x20, PMC
RETIRED_PACKED_INT_OPS_INT256_MUL, 0xD, 0x30, PMC
RETIRED_PACKED_INT_OPS_INT256_MAC, 0xD, 0x40, PMC
RETIRED_PACKED_INT_OPS_INT256_FMA, 0xD, 0x40, PMC
RETIRED_PACKED_INT_OPS_INT256_CMP, 0xD, 0x70, PMC
RETIRED_PACKED_INT_OPS_INT256_SHIFT, 0xD, 0x90, PMC
RETIRED_PACKED_INT_OPS_INT256_MOV, 0xD, 0xA0, PMC
RETIRED_PACKED_INT_OPS_INT256_SHUFFLE, 0xD, 0xB0, PMC
RETIRED_PACKED_INT_OPS_INT256_PACK, 0xD, 0xC0, PMC
RETIRED_PACKED_INT_OPS_INT256_LOGICAL, 0xD, 0xD0, PMC
RETIRED_PACKED_INT_OPS_INT256_OTHER, 0xD, 0xE0, PMC
RETIRED_PACKED_INT_OPS_INT256_ALL, 0xD, 0xF0, PMC
RETIRED_PACKED_INT_OPS_ALL_ALL, 0xD, 0xFF, PMC
FP_DISPATCH_FAULTS_X87_FILL, 0xE, 0x1, PMC
FP_DISPATCH_FAULTS_XMM_FILL, 0xE, 0x2, PMC
FP_DISPATCH_FAULTS_YMM_FILL, 0xE, 0x4, PMC
FP_DISPATCH_FAULTS_YMM_SPILL, 0xE, 0x8, PMC
BAD_STATUS2_STLI_OTHER, 0x24, 0x2, PMC
RETIRED_LOCK_INSTR_BUS_LOCK, 0x25, 0x1, PMC
RETIRED_CLFLUSH, 0x26, 0x0, PMC
RETIRED_CPUID, 0x27, 0x0, PMC
LS_DISPATCH_LOADS, 0x29, 0x1, PMC
LS_DISPATCH_STORES, 0x29, 0x2, PMC
LS_DISPATCH_LOAD_OP_STORES, 0x29, 0x4, PMC
LS_DISPATCH_ALL, 0x29, 0x7, PMC
SMI_RECEIVED, 0x2B, 0x0, PMC
INTERRUPTS_TAKEN, 0x2C, 0x1, PMC
ST_TO_LD_FWD, 0x35, 0x0, PMC
ST_COMMIT_CANCELS2_WCB_FULL, 0x37, 0x1, PMC
LS_MAB_ALLOC_LD_ST, 0x41, 0x3F, PMC
LS_MAB_ALLOC_HWPF, 0x41, 0x40, PMC
LS_MAB_ALLOC_ALL, 0x41, 0x7F, PMC
DEMAND_DATA_CACHE_FILLS_LOCAL_L2, 0x43, 0x1, PMC
DEMAND_DATA_CACHE_FILLS_LOCAL_CCX, 0x43, 0x2, PMC
DEMAND_DATA_CACHE_FILLS_INT_CACHE, 0x43, 0x2, PMC
DEMAND_DATA_CACHE_FILLS_NEAR_CACHE_NEAR_FAR, 0x43, 0x4, PMC
DEMAND_DATA_CACHE_FILLS_EXT_CACHE_LOCAL, 0x43, 0x4, PMC
DEMAND_DATA_CACHE_FILLS_DRAM_IO_NEAR, 0x43, 0x8, PMC
DEMAND_DATA_CACHE_FILLS_LOCAL_DRAM, 0x43, 0x8, PMC
DEMAND_DATA_CACHE_FILLS_LOCAL_ALL, 0x43, 0xF, PMC
DEMAND_DATA_CACHE_FILLS_EXT_CACHE_REMOTE, 0x43, 0x10, PMC
DEMAND_DATA_CACHE_FILLS_FAR_CACHE_NEAR_FAR, 0x43, 0x10, PMC
DEMAND_DATA_CACHE_FILLS_REMOTE_DRAM, 0x43, 0x40, PMC
DEMAND_DATA_CACHE_FILLS_DRAM_IO_FAR, 0x43, 0x40, PMC
DEMAND_DATA_CACHE_FILLS_ALTERNATE_MEMORIES_NEAR_FAR, 0x43, 0x80, PMC
DEMAND_DATA_CACHE_FILLS_REMOTE_ALL, 0x43, 0xD0, PMC
DEMAND_DATA_CACHE_FILLS_ALL, 0x43, 0xDF, PMC
ANY_DATA_CACHE_FILLS_LOCAL_L2, 0x44, 0x1, PMC
ANY_DATA_CACHE_FILLS_LOCAL_CCX, 0x44, 0x2, PMC
ANY_DATA_CACHE_FILLS_INT_CACHE, 0x44, 0x2, PMC
ANY_DATA_CACHE_FILLS_NEAR_CACHE_NEAR_FAR, 0x44, 0x4, PMC
ANY_DATA_CACHE_FILLS_EXT_CACHE_LOCAL, 0x44, 0x4, PMC
ANY_DATA_CACHE_FILLS_DRAM_IO_NEAR, 0x44, 0x8, PMC
ANY_DATA_CACHE_FILLS_LOCAL_DRAM, 0x44, 0x8, PMC
ANY_DATA_CACHE_FILLS_LOCAL_ALL, 0x44, 0xF, PMC
ANY_DATA_CACHE_FILLS_EXT_CACHE_REMOTE, 0x44, 0x10, PMC
ANY_DATA_CACHE_FILLS_FAR_CACHE_NEAR_FAR, 0x44, 0x10, PMC
ANY_DATA_CACHE_FILLS_REMOTE_DRAM, 0x44, 0x40, PMC
ANY_DATA_CACHE_FILLS_DRAM_IO_FAR, 0x44, 0x40, PMC
ANY_DATA_CACHE_FILLS_ALTERNATE_MEMORIES_NEAR_FAR, 0x44, 0x80, PMC
ANY_DATA_CACHE_FILLS_REMOTE_ALL, 0x44, 0xD0, PMC
ANY_DATA_CACHE_FILLS_ALL, 0x44, 0xDF, PMC
L1_DTLB_MISS_4K_L2_HIT, 0x45, 0x1, PMC
L1_DTLB_MISS_COALESCED_PAGE_HIT, 0x45, 0x2, PMC
L1_DTLB_MISS_2M_L2_HIT, 0x45, 0x4, PMC
L1_DTLB_MISS_1G_L2_HIT, 0x45, 0x8, PMC
L1_DTLB_MISS_ANY_L2_HIT, 0x45, 0xF, PMC
L1_DTLB_MISS_4K_L2_MISS, 0x45, 0x10, PMC
L1_DTLB_MISS_COALESCED_PAGE_MISS, 0x45, 0x20, PMC
L1_DTLB_MISS_2M_L2_MISS, 0x45, 0x40, PMC
L1_DTLB_MISS_1G_L2_MISS, 0x45, 0x80, PMC
L1_DTLB_MISS_ANY_L2_MISS, 0x45, 0xF0, PMC
MISALIGNED_LOADS_MA_64B, 0x47, 0x1, PMC
MISALIGNED_LOADS_MA_4K, 0x47, 0x2, PMC
MISALIGNED_LOADS_MA_ANY, 0x47, 0x3, PMC
PREF_INSTR_DISPATCHED_PREFETCH, 0x4B, 0x1, PMC
PREF_INSTR_DISPATCHED_PREFETCHW, 0x4B, 0x2, PMC
PREF_INSTR_DISPATCHED_PREFETCHNTA, 0x4B, 0x4, PMC
PREF_INSTR_DISPATCHED_ANY, 0x4B, 0x7, PMC
WCB_CLOSE_FLUSH_FULL_LINE_64B, 0x50, 0x1, PMC
INEFFECTIVE_SW_PREF_DATA_PIPE_SW_PF_DC_HIT, 0x52, 0x1, PMC
INEFFECTIVE_SW_PREF_MAB_MCH_CNT, 0x52, 0x2, PMC
SWPREF_DATA_CACHE_FILLS_LOCAL_L2, 0x52, 0x1, PMC
SWPREF_DATA_CACHE_FILLS_LOCAL_CCX, 0x52, 0x2, PMC
SWPREF_DATA_CACHE_FILLS_INT_CACHE, 0x52, 0x2, PMC
SWPREF_DATA_CACHE_FILLS_NEAR_CACHE_NEAR_FAR, 0x52, 0x4, PMC
SWPREF_DATA_CACHE_FILLS_EXT_CACHE_LOCAL, 0x52, 0x4, PMC
SWPREF_DATA_CACHE_FILLS_DRAM_IO_NEAR, 0x52, 0x8, PMC
SWPREF_DATA_CACHE_FILLS_LOCAL_DRAM, 0x52, 0x8, PMC
SWPREF_DATA_CACHE_FILLS_LOCAL_ALL, 0x52, 0xF, PMC
SWPREF_DATA_CACHE_FILLS_EXT_CACHE_REMOTE, 0x52, 0x10, PMC
SWPREF_DATA_CACHE_FILLS_FAR_CACHE_NEAR_FAR, 0x52, 0x10, PMC
SWPREF_DATA_CACHE_FILLS_REMOTE_DRAM, 0x52, 0x40, PMC
SWPREF_DATA_CACHE_FILLS_DRAM_IO_FAR, 0x52, 0x40, PMC
SWPREF_DATA_CACHE_FILLS_ALTERNATE_MEMORIES_NEAR_FAR, 0x52, 0x80, PMC
SWPREF_DATA_CACHE_FILLS_REMOTE_ALL, 0x52, 0xD0, PMC
SWPREF_DATA_CACHE_FILLS_ALL, 0x52, 0xDF, PMC
HWPREF_DATA_CACHE_FILLS_LOCAL_L2, 0x5A, 0x1, PMC
HWPREF_DATA_CACHE_FILLS_LOCAL_CCX, 0x5A, 0x2, PMC
HWPREF_DATA_CACHE_FILLS_INT_CACHE, 0x5A, 0x2, PMC
HWPREF_DATA_CACHE_FILLS_NEAR_CACHE_NEAR_FAR, 0x5A, 0x4, PMC
HWPREF_DATA_CACHE_FILLS_EXT_CACHE_LOCAL, 0x5A, 0x4, PMC
HWPREF_DATA_CACHE_FILLS_DRAM_IO_NEAR, 0x5A, 0x8, PMC
HWPREF_DATA_CACHE_FILLS_LOCAL_DRAM, 0x5A, 0x8, PMC
HWPREF_DATA_CACHE_FILLS_LOCAL_ALL, 0x5A, 0xF, PMC
HWPREF_DATA_CACHE_FILLS_EXT_CACHE_REMOTE, 0x5A, 0x10, PMC
HWPREF_DATA_CACHE_FILLS_FAR_CACHE_NEAR_FAR, 0x5A, 0x10, PMC
HWPREF_DATA_CACHE_FILLS_REMOTE_DRAM, 0x5A, 0x40, PMC
HWPREF_DATA_CACHE_FILLS_DRAM_IO_FAR, 0x5A, 0x40, PMC
HWPREF_DATA_CACHE_FILLS_ALTERNATE_MEMORIES_NEAR_FAR, 0x5A, 0x80, PMC
HWPREF_DATA_CACHE_FILLS_REMOTE_ALL, 0x5A, 0xD0, PMC
HWPREF_DATA_CACHE_FILLS_ALL, 0x5A, 0xDF, PMC
COUNT_OF_ALLOC_MABS, 0x5F, 0x0, PMC
CPU_CLOCKS_UNHALTED, 0x76, 0x0, PMC
TLB_FLUSHES_ALL, 0x78, 0xFF, PMC
P0_FREQ_CYCLES_UNHALTED, 0x120, 0x1, PMC
ICACHE_L2_REFILLS, 0x82, 0x0, PMC
ICACHE_SYSTEM_REFILLS, 0x83, 0x0, PMC
L1_ITLB_MISS_L2_ITLB_HIT, 0x84, 0x0, PMC
L1_ITLB_MISS_L2_ITLB_MISS_IF_4K, 0x85, 0x1, PMC
L1_ITLB_MISS_L2_ITLB_MISS_IF_2M, 0x85, 0x2, PMC
L1_ITLB_MISS_L2_ITLB_MISS_IF_1G, 0x85, 0x4, PMC
L1_ITLB_MISS_L2_ITLB_MISS_COALESCED_4K, 0x85, 0x8, PMC
L1_ITLB_MISS_L2_ITLB_MISS_ANY, 0x85, 0xF, PMC
L1_TLB_FETCH_HIT_IF_4K, 0x94, 0x1, PMC
L1_TLB_FETCH_HIT_IF_2M, 0x94, 0x2, PMC
L1_TLB_FETCH_HIT_IF_1G, 0x94, 0x4, PMC
L1_TLB_FETCH_HIT_IF_ANY, 0x94, 0x7, PMC
RESYNCS_OR_NC_REDIRECTS, 0x96, 0x0, PMC
FETCH_IBS_FETCH_TAGGED, 0x188, 0x2, PMC
FETCH_IBS_SAMPLE_DISCARDED, 0x188, 0x4, PMC
FETCH_IBS_SAMPLE_FILTERED, 0x188, 0x8, PMC
FETCH_IBS_SAMPLE_VAL, 0x188, 0x10, PMC
IC_TAG_HIT, 0x18E, 0x7, PMC
IC_TAG_MISS, 0x18E, 0x18, PMC
IC_TAG_ANY, 0x18E, 0x1F, PMC
OC_CACHE_HIT, 0x28F, 0x3, PMC
OC_CACHE_MISS, 0x28F, 0x4, PMC
OC_CACHE_ANY, 0x28F, 0x7, PMC
UOPS_QUEUE_EMTPY, 0xA9, 0x0, PMC
UOPS_DISP_FROM_DEC, 0xAA, 0x1, PMC
UOPS_DISP_FROM_OPCACHE, 0xAA, 0x2, PMC
UOPS_DISP_FROM_LOOP_BUFFER, 0xAA, 0x4, PMC
TYPE_UOPS_FROM_DECODER_FP, 0xAB, 0x4, PMC
TYPE_UOPS_FROM_DECODER_INT, 0xAB, 0x8, PMC
DISPATCH_RESOURCE_STALL_CYCLES_1_INT_REGFILE, 0xAE, 0x1, PMC
DISPATCH_RESOURCE_STALL_CYCLES_1_LOAD_QUEUE, 0xAE, 0x2, PMC
DISPATCH_RESOURCE_STALL_CYCLES_1_STORE_QUEUE, 0xAE, 0x4, PMC
DISPATCH_RESOURCE_STALL_CYCLES_1_TAKEN_BRANCH, 0xAE, 0x10, PMC
DISPATCH_RESOURCE_STALL_CYCLES_1_FP_REGFILE, 0xAE, 0x20, PMC
DISPATCH_RESOURCE_STALL_CYCLES_1_FP_SCHEDULER, 0xAE, 0x40, PMC
DISPATCH_RESOURCE_STALL_CYCLES_1_FP_FLUSH, 0xAE, 0x80, PMC
DISPATCH_RESOURCE_STALL_CYCLES_2_INT_SCHEDULER_0_TOKENS, 0xAF, 0x1, PMC
DISPATCH_RESOURCE_STALL_CYCLES_2_INT_SCHEDULER_1_TOKENS, 0xAF, 0x2, PMC
DISPATCH_RESOURCE_STALL_CYCLES_2_INT_SCHEDULER_2_TOKENS, 0xAF, 0x4, PMC
DISPATCH_RESOURCE_STALL_CYCLES_2_INT_SCHEDULER_3_TOKENS, 0xAF, 0x8, PMC
DISPATCH_RESOURCE_STALL_CYCLES_2_RETIRE_TOKEN_STALL, 0xAF, 0x20, PMC
DISPATCH_STALLS_PER_SLOT_FRONTEND, 0x1A0, 0x1, PMC
DISPATCH_STALLS_PER_SLOT_BACKEND, 0x1A0, 0x1E, PMC
DISPATCH_STALLS_PER_SLOT_OTHER_SMT_THREAD, 0x1A0, 0x60, PMC
ADDITIONAL_DISPATCH_RESOURCE_STALLS, 0x1A2, 0x30, PMC
RETIRED_INSTRUCTIONS, 0xC0, 0x0, PMC
RETIRED_UOPS, 0xC1, 0x0, PMC
RETIRED_BRANCH_INSTR, 0xC2, 0x0, PMC
RETIRED_MISP_BRANCH_INSTR, 0xC3, 0x0, PMC
RETIRED_TAKEN_BRANCH_INSTR, 0xC4, 0x0, PMC
RETIRED_TAKEN_MISP_BRANCH_INSTR, 0xC5, 0x0, PMC
RETIRED_FAR_CONTROL_TRANSFERS, 0xC6, 0x0, PMC
RETIRED_NEAR_RETURNS, 0xC8, 0x0, PMC
RETIRED_NEAR_RETURNS_MISP, 0xC9, 0x0, PMC
RETIRED_INDIRECT_BRANCHES_MISP, 0xCA, 0x0, PMC
RETIRED_MMX_FP_INSTR_X87, 0xCB, 0x1, PMC
RETIRED_MMX_FP_INSTR_MMX, 0xCB, 0x2, PMC
RETIRED_MMX_FP_INSTR_SSE, 0xCB, 0x4, PMC
RETIRED_MMX_FP_INSTR_ALL, 0xCB, 0x7, PMC
RETIRED_INDIRECT_BRANCH_INSTR, 0xCC, 0x0, PMC
RETIRED_COND_BRANCH_INSTR, 0xD1, 0x0, PMC
DIV_BUSY_CYCLES, 0xD3, 0x0, PMC
DIV_OP_COUNT, 0xD4, 0x0, PMC
CYCLES_NO_RETIRE_LOAD_ALU_QUEUE_EMPTY, 0xD6, 0x1, PMC
CYCLES_NO_RETIRE_LOAD_ALU_NOT_COMPLETE, 0xD6, 0x2, PMC
CYCLES_NO_RETIRE_LOAD_ALU_OTHER, 0xD6, 0x8, PMC
CYCLES_NO_RETIRE_LOAD_ALU_THREAD_NOT_SELECTED, 0xD6, 0x10, PMC
CYCLES_NO_RETIRE_LOAD_QUEUE_EMPTY, 0xD6, 0x51, PMC
CYCLES_NO_RETIRE_LOAD_NOT_COMPLETE, 0xD6, 0x52, PMC
CYCLES_NO_RETIRE_LOAD_OTHER, 0xD6, 0x58, PMC
CYCLES_NO_RETIRE_LOAD_THREAD_NOT_SELECTED, 0xD6, 0x60, PMC
RETIRED_MICROCODED_INSTR, 0x1C1, 0x0, PMC
RETIRED_MICROCODE_OPS, 0x1C2, 0x0, PMC
RETIRED_BRANCHES_MISP_DIRECTION_MISMATCH, 0x1C7, 0x0, PMC
RETIRED_UNCOND_INDIRECT_BRANCHES_MISP, 0x1C8, 0x0, PMC
RETIRED_UNCOND_BRANCHE_INSTR, 0x1C9, 0x0, PMC
TAGGED_IBS_OPS_COUNT, 0x1CF, 0x1, PMC
TAGGED_IBS_OPS_COUNT_RETIRED, 0x1CF, 0x2, PMC
TAGGED_IBS_OPS_COUNT_ROLLOVER, 0x1CF, 0x4, PMC
RETIRED_FUSED_INSTR, 0x1D0, 0x0, PMC
REQUESTS_TO_L2_GRP1_GRP2, 0x60, 0x1, PMC
REQUESTS_TO_L2_GRP1_L2_HW_PREF, 0x60, 0x2, PMC
REQUESTS_TO_L2_GRP1_PREF_L2, 0x60, 0x4, PMC
REQUESTS_TO_L2_GRP1_CHANGE_TO_X, 0x60, 0x8, PMC
REQUESTS_TO_L2_GRP1_CACHEABLE_IC_READ, 0x60, 0x10, PMC
REQUESTS_TO_L2_GRP1_LS_RD_BLOCK_C_S, 0x60, 0x20, PMC
REQUESTS_TO_L2_GRP1_RD_BLOCK_X, 0x60, 0x40, PMC
REQUESTS_TO_L2_GRP1_RD_BLOCK_L, 0x60, 0x80, PMC
REQUESTS_TO_L2_GRP1_DATA_CACHE_MISSES, 0x60, 0xE8, PMC
REQUESTS_TO_L2_GRP1_L1_CACHES_MISS, 0x60, 0x88, PMC
REQUESTS_TO_L2_GRP1_ALL_NO_PF, 0x60, 0xF9, PMC
REQUESTS_TO_L2_GRP1_ALL, 0x60, 0xFF, PMC
REQUESTS_TO_L2_GRP2_RD_SIZED, 0x61, 0x20, PMC
REQUESTS_TO_L2_GRP2_RD_SIZED_NC, 0x61, 0x40, PMC
L2_WCB_REQ_CLOSE, 0x63, 0x20, PMC
